title,processed_synopsis
Rio Bravo,gunsling joe burdett claud akin kill man saloon sheriff john chanc john wayn arrest aid town drunk dude dean martin long burdett brother nathan john russel come around indic prepar bust brother jail necessari chanc decid make stand reinforc arriv enlist dude old crippl name stumpi walter brennan cowboy colorado ryan ricki nelson help
Hunt for the Wilderpeople,boy julian dennison foster father sam neill becom subject manhunt get strand new zealand wilder
The French Connection,new york detect popey doyl gene hackman partner roy scheider chase french heroin smuggler
The Taking of Pelham One Two Three,new york citi crimin gang led ruthless blue robert shaw hijack subway car threaten start shoot one passeng per minut unless receiv million dollar cash citi within hour end line crusti veteran transit policeman zachari garber walter matthau hand full deal mayor offic hothead fellow cop also tri deliv ransom deadlin expir
John Wick: Chapter 3 -- Parabellum,gun member high tabl shadowi intern assassin guild legendari hit man john wick find strip organ protect servic stuck 14 million bounti head wick must fight way street new york becom target world ruthless killer
Doctor Strange,stephen strang benedict cumberbatch life chang car accid rob use hand tradit medicin fail look heal hope mysteri enclav quick learn enclav front line battl unseen dark forc bent destroy realiti long strang forc choos life fortun status leav behind defend world power sorcer exist
Aliens,float space 57 year ripley sigourney weaver shuttl found deep space salvag team upon arriv marin find one survivor nine year old girl name newt carri henn even marin latest weaponri match hundr alien invad coloni
The Empire Strikes Back,adventur continu star war sequel luke skywalk mark hamil han solo harrison ford princess leia carri fisher chewbacca peter mayhew face attack imperi forc walker ice planet hoth han leia escap millennium falcon luke travel dagobah search yoda jedi master help luke surviv dark side forc beckon ultim duel darth vader david prows
Paths of Glory,world war command offic general broulard adolph menjou order subordin general mireau georg macreadi attack german trench posit offer promot incent though mission foolhardi point suicid mireau command subordin colonel dax kirk dougla plan attack end disast general mireau demand three random soldier order save face
True Grit,outlaw name tom chaney josh brolin murder father feisti farm girl matti ross haile steinfeld hire rooster cogburn jeff bridg boozi lawman help find chaney aveng father bicker duo alon quest texa ranger name laboeuf matt damon also track chaney reason togeth unlik trio ventur hostil territori dispens old west justic
X-Men: Days of Future Past,convinc mutant pose threat human bolivar trask peter dinklag develop sentinel enorm robot weapon detect mutant gene zero person 21st centuri sentinel evolv high effici kill machin mutant face extinct wolverin hugh jackman volunt go back time ralli past help chang pivot moment histori therebi save futur
The Bridge on the River Kwai,adapt pierr bouell novel pow burma forc build bridg aid war effort japanes captor british american offic plot blow structur command bridg construct differ plan
Badlands,inspir killer charl starkweath fugat tale crime love begin town teenag girl holli sissi spacek anger father warren oat begin date older rebelli boy martin sheen conflict holli father erupt murder young lover forc flee ensu crime spree journey midwest badland montana elud author along way
Gun Crazy,pacifist bart tare john dall wit expert shooter anni lauri starr peggi cummin demonstr firearm prowess carniv one night love first sight aimless bart join travel show begin romanc anni danger rebelli spirit soon get fire elop young lover embark arm robberi spree manag elud author anni insist pull one last job
All Is Lost,solo voyag indian ocean veteran marin robert redford awak find vessel take water collis stray ship contain radio navig equip disabl sail unknow violent storm bare escap life luck ocean current may carri ship lane suppli dwindl shark circl sailor forc face mortal
The LEGO Batman Movie,big chang brew gotham batman arnett want save citi joker zach galifianaki hostil takeov may drop lone vigilant thing tri work other mayb mayb learn lighten mayb superhero sidekick robin michael cera loyal butler alfr ralph fienn show thing two
The Princess Bride,fairi tale adventur beauti young woman one true love must find long separ save must battl evil mythic kingdom florin reunit base william goldman novel princess bride earn loyal audienc
Looper,futur societi exist avail mean pay black market mob want elimin someon send target past hit man known looper lie wait finish job joe joseph one hire gun job well day boss decid close loop send joe futur self bruce willi back time kill
Chicken Run,engag claymat adventur tell stori american rooster fall love gorgeous hen british farm coupl decid run away farm must first contend evil farmer intent keep control chicken decid attempt escap get turn chicken pot pie
Stalker,unnam countri unspecifi time fierc protect wasteland known zone illeg guid aleksandr kajdanovski whose mutant child suggest unspeak horror within zone lead writer anatoliy solonitsyn scientist nikolay grinko heart devast search mythic place known room anyon enter room suppos earth desir immedi fulfil
Casino Royale,receiv licens kill british secret servic agent jame bond daniel craig head madagascar uncov link le chiffr mad mikkelsen man financ terrorist organ learn le chiffr plan rais money poker game mi6 send bond play gambl newest 00 oper toppl man organ
Guardians of the Galaxy Vol. 2,peter quill fellow guardian hire power alien race sovereign protect precious batteri invad discov rocket stolen item sent guard sovereign dispatch armada search vengeanc guardian tri escap mysteri peter parentag reveal
The Peanut Butter Falcon,run away residenti nurs home pursu dream becom pro wrestler man syndrom befriend outlaw becom coach alli
No Country for Old Men,hunt llewelyn moss josh brolin find grisli aftermath drug deal though know better resist cash left behind take hunter becom hunt merciless killer name chigurh javier bardem pick trail also look moss sheriff bell tommi lee jone age lawman reflect chang world dark secret tri find protect moss
Dawn of the Planet of the Apes,ten year simian flu wipe much world homosapien genet enhanc chimpanze caesar andi serki band follow establish thrive coloni outsid san francisco muir wood meanwhil small band human survivor emerg forc caesar leader grappl dual challeng protect peopl relationship remain human popul latter caesar secret wish
Captain Marvel,captain marvel extraterrestri kree warrior find caught middl intergalact battl peopl skrull live earth 1995 keep recur memori anoth life air forc pilot carol danver help nick furi captain marvel tri uncov secret past har special superpow end war evil skrull
Onward,teenag elf brother ian barley embark magic quest spend one day late father like good adventur journey fill cryptic map imposs obstacl unimagin discoveri dear mom find son miss team legendari manticor bring belov boy back home
Sicario,rise rank profess idealist fbi agent kate macer emili blunt receiv top assign recruit mysteri govern offici matt graver josh brolin kate join task forc escal war drug led intens shadowi alejandro benicio del toro team travel across border use one cartel boss bernardo saracino flush bigger one julio cesar cedillo
Ghostbusters,member team scientist harold rami dan aykroyd bill murray lose cushi posit univers new york citi decid becom ghostbust wage battl supernatur money stumbl upon gateway anoth dimens doorway releas evil upon citi ghostbust must save new york complet destruct
Ran,age seventi year consolid empir great lord hidetora ichimonji tatsuya nakadai decid abdic divid domain amongst three son taro akira terao eldest rule jiro jinpachi nezu second son saburo daisuk ryu take command second third castl expect obey support elder brother saburo defi pledg obedi banish
A Fistful of Dollars,man name clint eastwood enter mexican villag san miguel midst power struggl among three rojo brother antonio prieto benni reev sieghardt rupp sheriff john baxter wolfgang lukschi regiment mexican soldier bear gold intend pay new weapon waylaid rojo brother stranger insert middl battl sell fals inform side benefit
Henry V,gritti screen adapt shakespear play heroic ruthless king henri v england kenneth branagh determin lay claim kingdom franc henri diminish moral armi stand way victori would unit two countri provid henri queen emma thompson howev sheer determin impass speech readi men bloodiest battl agincourt
The Lord of the Rings: The Two Towers,sequel golden afi lord ring fellowship ring two tower follow continu quest frodo elijah wood fellowship destroy one ring frodo sam sean astin discov follow mysteri gollum aragorn viggo mortensen elf archer legola gim dwarf encount besieg rohan kingdom whose great king theoden fallen saruman dead spell
Captain America: The Winter Soldier,cataclysm event new york fellow aveng steve roger aka captain america chris evan live nation capit tri adjust modern time attack colleagu throw roger web intrigu place whole world risk join forc black widow scarlett johansson new alli falcon roger struggl expos conspiraci team soon come unexpect enemi
Back to the Future,1980s classic california teen marti mcfli michael fox thrown back experi eccentr scientist friend doc brown christoph lloyd goe awri travel time modifi delorean car marti encount young version parent crispin glover lea thompson must make sure fall love ceas exist even daunt marti return time save life doc brown
Assault on Precinct 13,lapd kill sever member south central gang street thunder remain member aveng way bloodi war wage cop citizen alik caught crossfir ethan bishop austin stoker manag skeleton crew local polic precinct gang member close bishop form unlik allianc group prison order defend station live everyon
The Searchers,rever western ethan edward john wayn return home texa civil war member brother famili kill abduct comanch vow track surviv relat bring home eventu edward get word niec debbi natali wood aliv along adopt brother martin pawley jeffrey hunter embark danger mission find journey deep comanch territori
Deadpool 2,wisecrack mercenari deadpool meet russel angri teenag mutant live orphanag russel becom target cabl genet enhanc soldier futur deadpool realiz need help save boy superior enemi soon join forc bedlam shatterstar domino power mutant protect young russel cabl advanc weaponri
Aguirre: The Wrath of God,lope de aguirr klaus kinski ruthless spanish conquistador vie power part expedit peru find el dorado mythic seven citi gold accompani daughter flore cecilia rivera aguirr face superior pedro de ursua ruy guerra grow increas volatil seiz control group aguirr press deeper amazonian jungl descend mad
"Crouching Tiger, Hidden Dragon",19th centuri qing dynasti china warrior chow give sword green destini lover michell yeoh deliv safe keep stolen chase find search lead hous yu stori take whole differ level
The Fugitive,wrong accus murder wife richard kimbl harrison ford escap law attempt find killer clear name pursu team marshal led deputi samuel gerard tommi lee jone determin detect rest richard captur richard lead team seri intric chase discov secret behind wife death struggl expos killer late
Apollo 13,hollywood drama base event apollo 13 lunar mission astronaut jim lovel tom hank fred hais bill paxton jack swigert kevin bacon find everyth go accord plan leav earth orbit howev oxygen tank explod schedul moon land call subsequ tension within crew numer technic problem threaten astronaut surviv safe return earth
The Lion King,disney anim featur follow adventur young lion simba jonathan taylor thoma heir father mufasa jame earl jone simba wick uncl scar jeremi iron plot usurp mufasa throne lure father son stamped wildebeest simba escap mufasa kill simba return adult matthew broderick take back homeland scar help friend timon nathan lane pumbaa erni sabella
Bullitt,senat walter chalmer robert vaughn aim take mob boss pete ross vic tayback help testimoni crimin hothead brother johnni pat renella protect custodi san francisco watch polic lieuten frank bullitt steve mcqueen pair mob hitmen enter scene bullitt follow trail maze complic thriller includ one famous car chase ever film
Catch Me if You Can,frank abagnal leonardo dicaprio work doctor lawyer major airlin 18th birthday master decept also brilliant forger whose skill gave first real claim fame age 17 frank abagnal becam success bank robber histori fbi agent carl hanratti tom hank make prime mission captur frank bring justic frank alway one step ahead
Annihilation,lena biologist former soldier join mission uncov happen husband insid area x sinist mysteri phenomenon expand across american coastlin insid expedit discov world mutat landscap creatur danger beauti threaten live saniti
Who Framed Roger Rabbit,privat eye eddi valiant bob hoskin get hire cartoon produc maroon alan tilvern investig adulteri scandal involv jessica rabbit kathleen turner sultri wife maroon biggest star roger rabbit charl fleischer marvin acm stubbi kay jessica alleg paramour owner toontown found murder villain judg doom christoph lloyd vow catch destroy roger
Toy Story 4,woodi buzz lightyear rest gang embark road trip bonni new toy name forki adventur journey turn unexpect reunion woodi slight detour lead friend bo peep woodi bo discuss old day soon start realiz world apart come want life toy
Inside Out,riley kaitlyn dia happi midwestern girl world turn parent move san francisco riley emot led joy ami poehler tri guid difficult event howev stress move bring sad phylli smith forefront joy sad inadvert swept far reach riley mind emot left headquart anger fear disgust
Snow White and the Seven Dwarfs,grimm fairi tale get technicolor treatment disney first anim featur jealous snow white beauti wick queen order murder innoc stepdaught later discov snow white still aliv hide cottag seven friend littl miner disguis hag queen bring poison appl snow white fall sleep broken kiss princ
Paddington 2,settl brown famili paddington bear popular member communiti spread joy marmalad wherev goe one fine day spot book antiqu shop perfect present belov aunt 100th birthday thief steal prize book paddington embark epic quest unmask culprit aunt luci big celebr
Toy Story 3,belov andi prepar leav colleg woodi tom hank buzz lightyear tim allen jessi joan cusack rest toy find head attic mistaken wind curb trash woodi quick think save gang woodi end donat center unfortun uncontrol kid play nice woodi gang make plan great escap
Toy Story 2,woodi tom hank stolen home toy dealer al mcwhiggin wayn knight leav buzz lightyear tim allen rest gang tri rescu woodi discov actual valuabl collect televis show call woodi roundup reunit hors bullsey jessi yodel cowgirl joan cusack faith sidekick stinki pete prospector kelsey grammer want leav
Pinocchio,woodwork geppetto christian rub see fall star wish puppet finish pinocchio dicki jone could becom real boy night blue fairi evelyn venabl grant geppetto wish ask jimini cricket cliff edward serv wooden boy conscienc naiv trust pinocchio fall clutch wick honest john walter catlett lead astray sin pleasur island
Finding Dory,dori ellen degener blue tang fish suffer memori loss everi 10 second one thing rememb somehow becam separ parent child help friend nemo marlin dori embark epic adventur find journey bring marin life institut conservatori hous divers ocean speci dori know famili reunion happen save mom dad captiv
Finding Nemo,marlin albert brook clown fish over cautious son nemo alexand gould foreshorten fin nemo swim close surfac prove caught diver horrifi marlin must set find blue reef fish name dori ellen degener realli short memori join marlin complic encount shark jellyfish host ocean danger meanwhil nemo plot escap dentist fish tank
Toy Story,woodi tom hank cowboy doll belong young boy name andi john morri see posit andi favorit toy jeopard parent buy buzz lightyear tim allen action figur even wors arrog buzz think real spaceman mission return home planet andi famili move new hous woodi buzz must escap clutch maladjust neighbor sid phillip erik von detten reunit boy
How to Train Your Dragon,hiccup jay baruchel nors teenag island berk fight dragon way life progress view weird sens humor make misfit despit fact father gerard butler chief clan toss school endeavor prove true vike befriend injur dragon name toothless chanc plot new cours peopl futur
Shaun the Sheep Movie,well mossi bottom farm except fact anim anyth get work shaun sheep scheme friend devis plan put master sleep howev ruse backfir poor farmer find transport big citi lost memori sean timmi lamb shirley ewe rest gang travel metropoli get back land even troubl
Dumbo,young circus eleph born comic larg ear given cruel nicknam dumbo one day show taunt group kid incit mother rage get lock dumbo ear caus accid injur mani eleph made dress like clown perform danger stunt everyth chang dumbo discov enorm ear actual allow fli astound everyon circus new talent
Ratatouille,remi patton oswalt resid pari appreci good food quit sophist palat would love becom chef creat enjoy culinari masterpiec heart delight problem remi rat wind sewer beneath one pari finest restaur rodent gourmet find ideal place realiz dream
My Life as a Zucchini,polic offic nick offerman new friend help orphan adjust life foster home
The Incredibles,laud pixar anim film marri superhero incred craig nelson elastigirl holli hunter forc assum mundan live bob helen parr activ ban govern incred love wife kid long return life adventur get chanc summon island battl robot soon incred troubl famili save
Only Yesterday,japanes offic worker travel countrysid reminisc childhood tokyo life could
One Hundred and One Dalmatians,disney anim classic dalmatian pongo tire life spi love perdita maneuv master roger meet perdita owner anita owner fall love marri keep pongo perdita togeth perdita give birth litter 15 puppi anita old school friend cruella de vil want buy roger declin offer cruella hire crimin badun brother steal fur coat
Beauty and the Beast,arrog young princ robbi benson castl servant fall spell wick enchantress turn hideous beast learn love love return spirit headstrong villag girl bell paig enter beast castl imprison father mauric rex everhart help enchant servant includ matron pott angela lansburi bell begin draw beast isol
The Nightmare Before Christmas,film follow misadventur jack skellington halloweentown belov pumpkin king becom bore annual routin frighten peopl real world jack accident stumbl christmastown bright color warm spirit get new leas life plot bring christma control kidnap santa claus take role jack soon discov even plan mice skeleton men go serious awri
Anomalisa,inspir speaker david thewli becom reinvigor meet live woman jennif jason leigh shake mundan exist
"Monsters, Inc.",monster incorpor largest scare factori monster world jame sullivan john goodman one top scarer sullivan huge intimid monster blue fur larg purpl spot horn scare assist best friend roommat mike wazowski billi crystal green opinion feisti littl monster visit human world boo mari gibb tini girl goe human ever gone
Grave of the Fireflies,teenag robert spencer charg care younger sister rhoda chrosit alli firebomb world war ii destroy home kill mother
Fantasia,releas 1940 repres disney boldest experi date bring life vision blend anim imageri classic music begun vehicl enhanc mickey mous career blossom featur remain uniqu histori anim
Your Name,teenag boy girl embark quest meet first time magic swap bodi
Spirited Away,chihiro daveigh chase move parent new home japanes countrysid take wrong turn wood path chihiro parent discov amus park stall contain assort food surpris chihiro parent begin eat transform pig supernatur realm chihiro encount host charact endur labor bathhous spirit await reunion parent
The Iron Giant,anim adapt ted hugh cold war fabl giant alien robot vin diesel near small town rockwel main explor area local boy hogarth discov robot soon form unlik friendship paranoid govern agent kent mansley becom determin destroy robot hogarth beatnik dean mccoppin harri connick must save misunderstood machin
Song of the Sea,irish youth david rawl discov mute sister selki must find voic free supernatur creatur spell celtic goddess fionnula flanagan
Tower,1 1966 sniper rode elev top floor univers texa tower open fire hold campus hostag 96 minut gunshot final silenc toll includ 16 dead three dozen wound shaken nation left tri understand happen archiv footag combin rotoscop anim dynam way illustr untold stori wit hero survivor
Waltz With Bashir,isra filmmak ari folman wrote direct star autobiograph anim film infantri soldier 1982 war lebanon folman wit sabra shatila massacr realiz memori event 2006 seek other beirut time discuss memori includ psychologist special stress disord first journalist cover massacr
How to Train Your Dragon: The Hidden World,sudden appear femal light furi coincid darkest threat villag ever face hiccup toothless must journey hidden world thought exist myth two friend soon discov true destini dragon rider fight togeth protect everyth grown treasur
Persepolis,base satrapi graphic novel life pre iran europ film trace satrapi growth child rebelli teenag iran background grow tension polit climat iran 70s 80s member famili detain execut background disastr war
Wallace & Gromit: The Curse of the Were-Rabbit,
Yellow Submarine,inhabit pepperland sieg blue meani nasti group creatur lord mayor pepperland dick emeri dispatch sailor old fred lanc perciv liverpool england recruit help beatl john lennon paul mccartney georg harrison ringo starr sympathet beatl ride yellow submarin occupi pepperland blue meani chanc fab four groovi tune
Fantastic Mr. Fox,12 year bucol bliss fox georg clooney break promis wife meryl streep raid farm human neighbor boggi bunc bean give anim instinct endang marriag also live famili anim friend farmer forc fox compani deep underground resort natur crafti rise opposit
Kiki's Delivery Service,anim featur kiki move seasid town talk cat jiji spend year alon accord villag tradit witch train learn control broomstick kiki set fli courier servic soon becom fixtur communiti insecur young witch begin question lose magic abil must overcom get power back
Ernest & Célestine,
Aladdin,street rat aladdin free geni lamp find wish grant howev soon find evil plan lamp princess jasmin aladdin save princess jasmin love see quit appear
